name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
Intel Core i3-7350K 4.2 GHz Dual-Core Processor,4.5,42.0,https://www.amazon.com/dp/B01NCEJN24?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f08ed44a8570ef813099b9b298a84d38.256p.jpg,60,LGA 1151,DDR4,2,4,4.2,N/A,4,14,Intel Kaby Lake
Intel Core i3-7100 3.9 GHz Dual-Core Processor,4.4,60.46,https://www.amazon.com/dp/B01NCESRJX?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://images-eu.ssl-images-amazon.com/images/I/511mRxIv4GL.jpg,51,LGA 1151,DDR4,2,4,3.9,N/A,3,14,Intel Kaby Lake
Intel Core i3-7320 4.1 GHz Dual-Core Processor,N/A,42.0,https://www.amazon.com/dp/B01MSTCUY8?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51NQB9peGbL.jpg,51,LGA 1151,DDR4,2,4,4.1,N/A,4,14,Intel Kaby Lake
Intel Core i3-7100 3.9 GHz Dual-Core OEM/Tray Processor,N/A,104.0,https://www.amazon.com/dp/B0727LDV63?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51YoPRZs3aL.jpg,51,LGA 1151,DDR4,2,4,3.9,N/A,3,14,Intel Kaby Lake
Intel Core i3-7100T 3.4 GHz Dual-Core OEM/Tray Processor,N/A,99.0,https://www.amazon.com/dp/B01NAQ6A93?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51ar56B-zyL.jpg,35,LGA 1151,DDR4,2,4,3.4,N/A,3,14,Intel Kaby Lake
Intel Core i3-7300 4 GHz Dual-Core Processor,4.0,N/A,N/A,https://m.media-amazon.com/images/I/41QVRVRgLDL.jpg,51,LGA 1151,DDR4,2,4,4,N/A,4,14,Intel Kaby Lake
Intel Core i3-7350K 4.2 GHz Dual-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2c0f0ca43297191b87dcf05818b2fc29.256p.jpg,60,LGA 1151,DDR4,2,4,4.2,N/A,4,14,Intel Kaby Lake
Intel Core i3-7300T 3.5 GHz Dual-Core Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,35,LGA 1151,DDR4,2,4,3.5,N/A,4,14,Intel Kaby Lake
Intel Core i3-7101TE 3.4 GHz Dual-Core OEM/Tray Processor,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41oucK2vBSL.jpg,35,LGA 1151,DDR4,2,4,3.4,N/A,3,14,Intel Kaby Lake
Intel Core i3-7300T 3.5 GHz Dual-Core Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,35,LGA 1151,DDR4,2,4,3.5,N/A,4,14,Intel Kaby Lake
Intel Core i7-11700K 3.6 GHz 8-Core Processor,4.8,240.93,https://www.amazon.com/dp/B08X6ND3WP?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/41358d31a00cc8fb673bfa7716ea9498.256p.jpg,125,LGA 1200,DDR4,8,16,3.6,5,16,14,Intel Rocket Lake
Intel Core i7-13700K 3.4 GHz 16-Core Processor,4.8,348.6,https://www.amazon.com/dp/B0BCF57FL5?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,125,LGA 1700,DDR4,16,24,3.4,5.4,30,10,Intel Raptor Lake
AMD Athlon II X3 435 2.9 GHz Triple-Core Processor,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/416PLWd07rL.jpg,95,AM3,DDR4,3,3,2.9,N/A,0,45,AMD K10
AMD Phenom II X2 B59 3.4 GHz Dual-Core OEM/Tray Processor,3.0,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/51XVXeMS6VL.jpg,80,AM3,DDR4,2,2,3.4,N/A,6,45,AMD K10
AMD Phenom II X4 975 3.6 GHz Quad-Core OEM/Tray Processor,N/A,168.02,https://www.amazon.com/dp/B007ONBQ0O?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,125,AM3,DDR4,4,4,3.6,N/A,6,45,AMD K10
AMD Threadripper 3970X 3.7 GHz 32-Core Processor,5.0,1515.0,https://www.amazon.com/dp/B0815JJQQ8?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f2cacb6e0f6003d798989357654aff3c.256p.jpg,280,sTRX4,DDR4,32,64,3.7,4.5,128,7,AMD Zen 2
