name,rating,price,shop_url,image_url,tdp,socket,rpm,noise_level,radiator_size,cooler_height
Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid CPU Cooler,4.6,214.98,https://www.amazon.com/dp/B08G1NSG7F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/3e80087537051bd56fa7650e7d61516d.256p.jpg,25,AM2/AM2+/AM3/AM3+/AM4/AM5/sTR4/FM1/FM2/FM2+/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 1700/LGA 1851/LGA 2011/LGA 2011-3/LGA 2066,2400,37.0,240,0
Asus ROG STRIX LC II ARGB 80.95 CFM Liquid CPU Cooler,4.5,189.0,https://www.amazon.com/dp/B09KSX6ZFQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ad2d67177c35acc45be96995e6a4b370.256p.jpg,25,AM4/AM5/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1700/LGA 1851/LGA 2011-3,2500,0.0,360,0
Deepcool LE500 85.85 CFM Liquid CPU Cooler,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/b215a5dd6cbfed83d595c45034494ea5.256p.jpg,25,AM4/AM5/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1700/LGA 1851,2250,0.0,240,0
Corsair H55 57 CFM Liquid CPU Cooler,4.4,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/961e83ddbfdf1652833c5ec91e45ee8f.256p.jpg,25,AM2/AM2+/AM3/AM3+/AM4/FM1/FM2/FM2+/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 2011/LGA 2011-3/LGA 2066,1700,0.0,120,0
ID-COOLING ZOOMFLOW 240 XT SNOW 68.2 CFM Liquid CPU Cooler,4.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/46546b24730a0172b58a9b29afd0706e.256p.jpg,25,AM4/AM5/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 2011/LGA 2011-3/LGA 2066,1500,0.0,240,0
Aerocool P7-L240 71.65 CFM Liquid CPU Cooler,5.0,0.0,unknown,https://images-eu.ssl-images-amazon.com/images/I/41IOsPQI8ML.jpg,25,AM2/AM2+/AM3/AM3+/AM4/FM1/FM2/FM2+/LGA 775/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 2011/LGA 2011-3/LGA 2066,1800,0.0,240,0
NZXT Kraken X42 Rev 2 98.17 CFM Liquid CPU Cooler,4.2,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/e7443e952ac5550b9c32d32c72a9feec.256p.jpg,25,AM2/AM2+/AM3/AM3+/AM4/AM5/FM1/FM2/FM2+/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 1700/LGA 1851/LGA 2011/LGA 2011-3/LGA 2066,1800,38.0,140,0
ARCTIC Liquid Freezer II 360 RGB 48.8 CFM Liquid CPU Cooler,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/7fb1d50312d580bf83856c7aab42bef1.256p.jpg,25,AM4/AM5/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1700/LGA 1851/LGA 2011/LGA 2011-3/LGA 2066,1800,0.0,360,0
Cougar AQUA 70.64 CFM Liquid CPU Cooler,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/18dc79654330364bad9b5749b7f019ed.256p.jpg,25,AM2/AM2+/AM3/AM3+/AM4/sTR4/FM1/FM2/FM2+/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 2011/LGA 2011-3/LGA 2066,1800,35.0,360,0
ID-COOLING ZOOMFLOW X 62 CFM Liquid CPU Cooler,0.0,0.0,unknown,https://m.media-amazon.com/images/I/41R42CAvunL.jpg,25,AM2/AM2+/AM3/AM3+/AM4/AM5/FM1/FM2/FM2+/LGA 1150/LGA 1151/LGA 1155/LGA 1156/LGA 1200/LGA 1366/LGA 1700/LGA 1851/LGA 2011/LGA 2011-3/LGA 2066,1500,18.0,360,0
