name,rating,price,amazon_link,image_link,tdp,memory,effective memory clock,core clock,boost clock,length,case expansion slot width,external power
Asus DUAL GeForce GTX 1050 2 GB Video Card,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/834658a3d45eed0f1c2cceac99b71362.256p.jpg,75,2GB GDDR5,7008,1404,1518,212,2,None
Gigabyte GAMING GeForce GTX 1050 2 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d4f15c513568ddf4dc4c424d9a350185.256p.jpg,75,2GB GDDR5,7008,1417,1556,219,2,1x 6-pin
MSI GTX 1050 2G OC GeForce GTX 1050 2 GB Video Card,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d622ea150f25f44d91631a29c59f42a8.256p.jpg,75,2GB GDDR5,7000,1404,1518,177,2,None
Zotac MINI GeForce GTX 1050 2 GB Video Card,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a61c801559e694617535d2f01a83ba5c.256p.jpg,75,2GB GDDR5,7000,1354,1455,145,1,None
EVGA SC GAMING GeForce GTX 1050 2 GB Video Card,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/08504d74ba6fda8164eab5e9fee0e325.256p.jpg,75,2GB GDDR5,7008,1417,1531,145,2,None
Palit StormX GeForce GTX 1050 2 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2331837fc5e54eec97f66f7d87e043f3.256p.jpg,75,2GB GDDR5,7000,1354,1455,166,2,None
MSI GTX 1050 2GT OC GeForce GTX 1050 2 GB Video Card,5.0,N/A,N/A,https://m.media-amazon.com/images/I/51Vl579jOrL.jpg,75,2GB GDDR5,7008,1404,1518,215,2,None
Asus ROG STRIX GeForce GTX 1050 2 GB Video Card,5.0,N/A,N/A,https://m.media-amazon.com/images/I/51inyQObm2L.jpg,75,2GB GDDR5,7008,1442,1569,241,2,1x 6-pin
MSI GAMING X GeForce GTX 1050 2 GB Video Card,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/9a4e6ab69372b92fc35d9d5590d7aadf.256p.jpg,75,2GB GDDR5,7108,1354,1556,229,2,None
Gigabyte D5 GeForce GTX 1050 2 GB Video Card,4.5,N/A,N/A,https://m.media-amazon.com/images/I/41P8R+qMDwL.jpg,75,2GB GDDR5,7008,1354,1493,172,2,None
Asus Phoenix OC GeForce GTX 1650 SUPER 4 GB Video Card,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8aa13da58437c92f9345df938c1a5e2f.256p.jpg,100,4GB GDDR6,12002,1530,1770,174,2,1x 6-pin
MSI D6 VENTUS XS GeForce GTX 1650 G6 4 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ee4bd4f1ee8b26b50bc9e7251a0ecbac.256p.jpg,75,4GB GDDR6,12000,1410,1590,178,2,None
Asus TUF Gaming EVO OC GeForce GTX 1660 Ti 6 GB Video Card,4.0,399.0,https://www.amazon.com/dp/B09HL87KQM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f04d090f920f91c0e81c5bb4ca7fa11f.256p.jpg,120,6GB GDDR6,N/A,1500,1845,206,2,1x 8-pin
Asus STRIX GAMING GeForce GTX 1660 SUPER 6 GB Video Card,5.0,N/A,N/A,https://m.media-amazon.com/images/I/41AwzJvvRPL.jpg,125,6GB GDDR6,14002,1530,1815,243,2,1x 8-pin
Gigabyte AORUS GeForce GTX 1660 Ti 6 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/bccfafe3acaacb6c97b7c1e6810bf8f9.256p.jpg,120,6GB GDDR6,12000,1500,1890,280,2,1x 8-pin
GALAX EX GeForce GTX 1660 6 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/079221c1a7e0af8f70ae553ba99d7884.256p.jpg,130,6GB GDDR5,8000,1530,1845,245,2,1x 6-pin
PNY XLR8 Gaming Overclocked Edition GeForce GTX 1060 6GB 6 GB Video Card,4.7,N/A,N/A,https://m.media-amazon.com/images/I/51vW5Ty6bXL.jpg,120,6GB GDDR5,8000,1582,1797,173,2,1x 8-pin
EVGA GeForce RTX 2060 SC Ultra GAMING GeForce RTX 2060 6 GB Video Card,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,160,6GB GDDR6,14000,1365,1755,268,2,1x 8-pin
PNY Blower GeForce RTX 2060 6 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/0c1d23c30b29adbc8b9db769bd8a11fd.256p.jpg,160,6GB GDDR6,14000,1365,1680,267,2,1x 8-pin
Zotac MINI GeForce GTX 1070 Ti 8 GB Video Card,4.4,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c2e9831dcfa98e905e6ee07924135c71.256p.jpg,180,8GB GDDR5,8008,1607,1683,211,2,1x 8-pin
MSI GAMING Z GeForce GTX 1070 8 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/1e3b60b06d5cf778e7f0a991a5bda8c5.256p.jpg,150,8GB GDDR5,8108,1657,1860,279,2,1x 8-pin + 1x 6-pin
MSI QUICK SILVER GeForce GTX 1070 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a8935cba3fd06ea973a8aa468ec9f0ab.256p.jpg,150,8GB GDDR5,8008,1506,1721,279,2,1x 8-pin + 1x 6-pin
MSI GAMING GeForce RTX 2060 SUPER 8 GB Video Card,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f3a93efd23ff104cce5d6916a00d547e.256p.jpg,175,8GB GDDR6,14000,1470,1650,248,2,1x 8-pin
Gigabyte GAMING GeForce GTX 1080 8 GB Video Card,4.7,499.0,https://www.amazon.com/dp/B01GJEE9BG?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41lXcLke4GL.jpg,180,8GB GDDR5X,10010,1721,1860,286,2,1x 8-pin
MSI AERO GeForce GTX 1080 8 GB Video Card,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d3fa5ad8cdf79615f7954d16bd9f1c13.256p.jpg,180,8GB GDDR5X,10010,1607,1733,269,2,1x 8-pin
GALAX HOF GeForce GTX 1080 8 GB Video Card,5.0,N/A,N/A,https://static/forever/img/no-image.png,180,8GB GDDR5X,10000,1733,1873,330,2,2x 8-pin
Asus STRIX GAMING OC GeForce RTX 2070 SUPER 8 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8913a36122b96e87036df5b7d686a9a3.256p.jpg,215,8GB GDDR6,14000,1635,1935,300,2,2x 8-pin
Asus DUAL MINI OC GeForce RTX 2070 8 GB Video Card,4.4,N/A,N/A,https://m.media-amazon.com/images/I/41aA+kVRqRL.jpg,185,8GB GDDR6,14000,1410,1680,197,2,1x 8-pin
MSI GAMING Z TRIO GeForce RTX 2070 SUPER 8 GB Video Card,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41N8JbY+khL.jpg,215,8GB GDDR6,15500,1605,1815,328,2,2x 8-pin
Asus DUAL EVO OC GeForce RTX 2080 SUPER 8 GB Video Card,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/357158a5908fee531c6c62a7f938b952.256p.jpg,250,8GB GDDR6,15500,1650,1860,267,2,2x 8-pin
