name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
Asus PRIME Z390-A ATX LGA1151 Motherboard,4.6,299.0,https://www.amazon.com/dp/B07HCY7K9L?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9bf978a8545947c14c8ab7b7338f9ae2.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4266,4,128,3,3,2,6,1x 1GB/s,No,ATX
ASRock B365M-HDV Micro ATX LGA1151 Motherboard,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/b6196d5b8b72eb6bfb4d42ccd24d8b25.256p.jpg,80,LGA 1151,Intel B365,DDR4,2666,2,32,1,2,1,6,1x 1GB/s,No,Micro-ATX
MSI Z390-A PRO ATX LGA1151 Motherboard,4.4,234.8,https://www.amazon.com/dp/B07J6Z9KJ2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/65d2e2e1dd6c41fe051500c6d88ffe0c.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4400,4,128,2,4,1,6,1x 1GB/s,No,ATX
Asus ROG STRIX Z390-E GAMING ATX LGA1151 Motherboard,4.5,366.1,https://www.amazon.com/dp/B07HCPLQ2H?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/7fe5cb1d35e7385f6cd195e787ab9274.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4266,4,128,3,3,2,6,1x 1GB/s,Wi-Fi 5,ATX
Gigabyte Z390 AORUS PRO WIFI ATX LGA1151 Motherboard,4.7,294.0,https://www.amazon.com/dp/B07HRZKPXM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/a735153cb96091c6e69f267386e177df.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4133,4,128,3,3,2,6,1x 1GB/s,Wi-Fi 5,ATX
Asus PRIME Z390-P ATX LGA1151 Motherboard,4.2,189.9,https://www.amazon.com/dp/B07HCT5GBD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/7709bacef3c1dff5fc91ceacff36bbbf.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4266,4,128,2,4,2,4,1x 1GB/s,No,ATX
Asus Z170-A ATX LGA1151 Motherboard,4.5,311.9,https://www.amazon.com/dp/B012NH05UW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/275bd01f746af921f9739489bb235716.256p.jpg,80,LGA 1151,Intel Z170,DDR4,3400,4,64,3,3,1,6,1x 1GB/s,No,ATX
ASRock H310CM-DVS Micro ATX LGA1151 Motherboard,3.0,68.38,https://www.amazon.com/dp/B07G6MP3LC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/30ccbc7d5e77b0bfe36995077805bf83.256p.jpg,80,LGA 1151,Intel H310,DDR4,2666,2,32,1,1,0,4,1x 1GB/s,No,Micro-ATX
ASRock B365M Pro4 Micro ATX LGA1151 Motherboard,4.8,N/A,N/A,https://images-fe.ssl-images-amazon.com/images/I/519Ijk4KsTL.jpg,80,LGA 1151,Intel B365,DDR4,2666,4,64,2,1,2,6,1x 1GB/s,No,Micro-ATX
MSI MPG Z390 GAMING EDGE AC ATX LGA1151 Motherboard,4.8,436.4,https://www.amazon.com/dp/B07HM3MD1D?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51cwqUsvMoL.jpg,80,LGA 1151,Intel Z390,DDR4,4400,4,128,3,3,2,6,1x 1GB/s,Wi-Fi 5,ATX
Asus PRIME Z270-A ATX LGA1151 Motherboard,4.8,381.49,https://www.amazon.com/dp/B01NGTYV2Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/49e1f3750f0a0bf64a4d6d60d9eb0e06.256p.jpg,80,LGA 1151,Intel Z270,DDR4,3866,4,64,3,4,2,6,1x 1GB/s,No,ATX
Gigabyte Z390 UD ATX LGA1151 Motherboard,4.3,219.0,https://www.amazon.com/dp/B07HS59X7P?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/22573d2c099a90eb53acfd285b0fbed1.256p.jpg,80,LGA 1151,Intel Z390,DDR4,4266,4,128,3,3,1,6,1x 1GB/s,No,ATX
MSI Z370-A PRO ATX LGA1151 Motherboard,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f8c70f46f9a7756142a002e17babe4df.256p.jpg,80,LGA 1151,Intel Z370,DDR4,4000,4,64,2,4,1,6,1x 1GB/s,No,ATX
Asus Prime Z370-A ATX LGA1151 Motherboard,4.7,316.4,https://www.amazon.com/dp/B075RJHN2D?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9a240bb5d6455883bbf45e134a11faae.256p.jpg,80,LGA 1151,Intel Z370,DDR4,4000,4,64,3,4,2,6,1x 1GB/s,No,ATX
Asus ROG STRIX Z370-E GAMING ATX LGA1151 Motherboard,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6a4a5f429b21304f2f8975cc6e49635d.256p.jpg,80,LGA 1151,Intel Z370,DDR4,0,4,64,3,4,2,6,1x 1GB/s,Wi-Fi 5,ATX
ASRock H310CM-HDV Micro ATX LGA1151 Motherboard,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6ddc849457b30257731dd578e6447a8e.256p.jpg,80,LGA 1151,Intel H310,DDR4,0,2,32,1,1,0,4,1x 1GB/s,No,Micro-ATX
Asus STRIX Z270-E GAMING ATX LGA1151 Motherboard,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/4de138bdc4e9d1296abcb8f10348dda3.256p.jpg,80,LGA 1151,Intel Z270,DDR4,0,4,64,3,4,2,6,1x 1GB/s,Wi-Fi 5,ATX
Gigabyte GA-B250M-DS3H Micro ATX LGA1151 Motherboard,4.0,167.1,https://www.amazon.com/dp/B01N2WG23X?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f5dd197bfd91495b247f321158791a78.256p.jpg,80,LGA 1151,Intel B250,DDR4,0,4,64,1,2,1,6,1x 1GB/s,No,Micro-ATX
Gigabyte B365M DS3H WIFI Micro ATX LGA1151 Motherboard,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/218f2454f77327522d57028e90fe1b77.256p.jpg,80,LGA 1151,Intel B365,DDR4,0,4,64,1,2,1,6,1x 1GB/s,Wi-Fi 5,Micro-ATX
