name,rating,price,shop_url,image_url,type,efficiency,wattage,lenght
Silverstone SFX 500 W 80+ Gold Certified Fully Modular SFX Power Supply,4.4,112.9,https://www.amazon.com/dp/B00SD9IORQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/25aa74d682bfbb478cc7089f30086e4b.256p.jpg,Fully Modular,80+ Gold,500,130.0
be quiet! SFX L Power 500 W 80+ Gold Certified Fully Modular SFX Power Supply,4.3,140.75,https://www.amazon.com/dp/B07MCGSFN9?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/933b1005478f139d7caf504efce06dad.256p.jpg,Fully Modular,80+ Gold,500,130.0
Fractal Design Ion SFX 500G 500 W 80+ Gold Certified Fully Modular SFX Power Supply,3.9,0.0,unknown,https://m.media-amazon.com/images/I/41d4XSLwWML.jpg,Fully Modular,80+ Gold,500,125.0
Silverstone SX500-G 500 W 80+ Gold Certified Fully Modular SFX Power Supply,4.3,119.9,https://www.amazon.com/dp/B075M5FRQS?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c011e909a23ae134119f5be65fe97630.256p.jpg,Fully Modular,80+ Gold,500,100.0
SeaSonic FOCUS SGX 500 W 80+ Gold Certified Fully Modular SFX Power Supply,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/8016f90e87c991b45fa23eb4d64b04bd.256p.jpg,Fully Modular,80+ Gold,500,125.0
SHARKOON SilentStorm 500 W 80+ Gold Certified Fully Modular SFX Power Supply,4.7,197.78,https://www.amazon.com/dp/B00W4IVXFW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51wdz5LHGpL.jpg,Fully Modular,80+ Gold,500,130.0
FSP Group Dagger 500 500 W 80+ Gold Certified Fully Modular SFX Power Supply,0.0,0.0,unknown,https://m.media-amazon.com/images/I/51DnHFZEYvL.jpg,Fully Modular,80+ Gold,500,110.0
Corsair SF600 (2018) 600 W 80+ Platinum Certified Fully Modular SFX Power Supply,4.8,0.0,unknown,unknown,Fully Modular,80+ Platinum,600,100.0
Corsair SF600 (2016) 600 W 80+ Gold Certified Fully Modular SFX Power Supply,4.6,0.0,unknown,unknown,Fully Modular,80+ Gold,600,100.0
be quiet! SFX L Power 600 W 80+ Gold Certified Fully Modular SFX Power Supply,0.0,137.46,https://www.amazon.com/dp/B07MT3VFMB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/933b1005478f139d7caf504efce06dad.256p.jpg,Fully Modular,80+ Gold,600,130.0
