name,rating,price,amazon_link,image_link,tdp,pcie_gen,capacity,speed_read,speed_write
Samsung 970 Evo Plus 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,74.9,https://www.amazon.com/dp/B07MG119KG?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,10,3x4,250 GB,1914,527
Kingston NV2 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.6,28.9,https://www.amazon.com/dp/B0BBWH7DBT?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/1ab970d9da01e708936041815f8f0505.256p.jpg,10,4x4,250 GB,1774,862
Samsung 980 Pro 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.8,136.9,https://www.amazon.com/dp/B08GL52C3V?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0031b30a7f5958ebe231983fb79d17ec.256p.jpg,10,4x4,250 GB,2781,533
Western Digital Black SN770 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,39.9,https://www.amazon.com/dp/B09QVP977F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg,10,4x4,250 GB,N/A,N/A
Samsung 960 Evo 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,74.48,https://www.amazon.com/dp/B01LYFKX41?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg,10,3x4,250 GB,N/A,N/A
Western Digital Blue SN570 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.5,47.5,https://www.amazon.com/dp/B09HKGGPLR?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c1cdf2d19b482db7c0266e53f6f3893c.256p.jpg,10,3x4,250 GB,N/A,N/A
Samsung 980 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,44.9,https://goto.walmart.com/c/79301/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F559060783,https://cdna.pcpartpicker.com/static/forever/images/product/d62d321c924e55fadd54e9316273b330.256p.jpg,10,3x4,250 GB,1371,375
Samsung 970 Evo 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,104.9,https://www.amazon.com/dp/B07BN5FJZQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,10,3x4,250 GB,N/A,N/A
Kingston A2000 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.8,34.99,https://www.amazon.com/dp/B07VYG5HQD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d2597c6af85efa2da718727f545317eb.256p.jpg,10,3x4,250 GB,N/A,N/A
HP EX900 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,35.99,https://www.amazon.com/dp/B07B319VG2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/5e726a302be5f554b55eebebd1e1feb7.256p.jpg,10,3x4,250 GB,N/A,N/A
