partType,name,image,url,type,space
storage,Samsung 970 Evo Plus 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7S250B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,https://pcpartpicker.com/product/BDYLrH/samsung-970-evo-plus-250-gb-m2-2280-nvme-solid-state-drive-mz-v7s250bam,NVME,250
storage,Kingston NV2 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SNV2S/250G),https://cdna.pcpartpicker.com/static/forever/images/product/1ab970d9da01e708936041815f8f0505.256p.jpg,https://pcpartpicker.com/product/KQXJ7P/kingston-nv2-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s250g,NVME,250
storage,Samsung 980 Pro 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (MZ-V8P250B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/0031b30a7f5958ebe231983fb79d17ec.256p.jpg,https://pcpartpicker.com/product/MBVG3C/samsung-980-pro-250-gb-m2-2280-nvme-solid-state-drive-mz-v8p250bam,NVME,250
storage,Western Digital Black SN770 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (WDS250G3X0E),https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg,https://pcpartpicker.com/product/fJZ9TW/western-digital-black-sn770-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds250g3x0e,NVME,250
storage,Samsung 960 Evo 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V6E250),https://cdna.pcpartpicker.com/static/forever/images/product/05c84a7f2b020b4efe1b7b736b9eefd0.256p.jpg,https://pcpartpicker.com/product/ZNBrxr/samsung-960-evo-250gb-m2-2280-solid-state-drive-mz-v6e250,NVME,250
storage,Western Digital Blue SN570 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS250G3B0C),https://cdna.pcpartpicker.com/static/forever/images/product/c1cdf2d19b482db7c0266e53f6f3893c.256p.jpg,https://pcpartpicker.com/product/RHJgXL/western-digital-blue-sn570-250-gb-m2-2280-nvme-solid-state-drive-wds250g3b0c,NVME,250
storage,Samsung 980 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V8V250B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/d62d321c924e55fadd54e9316273b330.256p.jpg,https://pcpartpicker.com/product/VMbTwP/samsung-980-250-gb-m2-2280-nvme-solid-state-drive-mz-v8v250bam,NVME,250
storage,Samsung 970 Evo 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7E250BW),https://cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,https://pcpartpicker.com/product/dkHRsY/samsung-970-evo-250gb-m2-2280-solid-state-drive-mz-v7e250bw,NVME,250
storage,Kingston A2000 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SA2000M8/250G),https://cdna.pcpartpicker.com/static/forever/images/product/d2597c6af85efa2da718727f545317eb.256p.jpg,https://pcpartpicker.com/product/3vWBD3/kingston-a2000-250-gb-m2-2280-nvme-solid-state-drive-sa2000m8250g,NVME,250
storage,HP EX900 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (2YY43AA#ABC),https://cdna.pcpartpicker.com/static/forever/images/product/5e726a302be5f554b55eebebd1e1feb7.256p.jpg,https://pcpartpicker.com/product/9wyV3C/hp-ex900-250gb-m2-2280-solid-state-drive-2yy43aaabc,NVME,250
storage,Crucial P2 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (CT250P2SSD8),https://cdna.pcpartpicker.com/static/forever/images/product/ce4fd57ee655bf400a82aa84f6ec7ac5.256p.jpg,https://pcpartpicker.com/product/L3jNnQ/crucial-p2-250-gb-m2-2280-nvme-solid-state-drive-ct250p2ssd8,NVME,250
